BIOGUIDE_ID,OFFICE,QUARTER,PROGRAM,CATEGORY,DATE,TRANSCODE,RECORDID,PAYEE,START DATE,END DATE,PURPOSE,AMOUNT,YEAR,RECIP (orig.)
,NEW MEMBER ORIENTATION,2017Q1,NEW MEMBERS ORIENTATION,TRAVEL,1/12/2017,AP,E0474249,MICHAEL FLORIO,11/14/2016,12/1/2016,TAXI/PARKING/TOLLS,221.35,2016,MICHAEL FLORIO
,NEW MEMBER ORIENTATION,2017Q1,NEW MEMBERS ORIENTATION,TRAVEL,2/1/2017,AP,E0481913,GEORGE SABA,11/18/2016,12/2/2016,TAXI/PARKING/TOLLS,144.07,2016,GEORGE SABA
,NEW MEMBER ORIENTATION,2017Q1,NEW MEMBERS ORIENTATION,TRAVEL,2/3/2017,AP,E0481914,HON RO KHANNA,11/13/2016,12/3/2016,TAXI/PARKING/TOLLS,526.13,2016,HON RO KHANNA
,NEW MEMBER ORIENTATION,2017Q1,NEW MEMBERS ORIENTATION,TRAVEL,2/8/2017,AP,E0484316,SCOTT R JONES,11/13/2016,11/19/2016,TAXI/PARKING/TOLLS,159.64,2016,SCOTT R JONES
,NEW MEMBER ORIENTATION,2017Q1,NEW MEMBERS ORIENTATION,TRAVEL,2/8/2017,AP,E0484321,HON VICENTE GONZALEZ,11/13/2016,12/6/2016,TAXI/PARKING/TOLLS,108,2016,HON VICENTE GONZALEZ
,NEW MEMBER ORIENTATION,2017Q1,NEW MEMBERS ORIENTATION,TRAVEL,2/10/2017,AP,902330,HON RAJA KRISHNAMOORTHI,11/14/2016,11/17/2016,TAXI/PARKING/TOLLS,112.15,2016,HON RAJA KRISHNAMOORTHI
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,WOUNDED WARRIOR EXPENSES,TRAVEL,1/11/2017,AP,896520,O'CONNOR RYAN P.,12/12/2016,12/16/2016,TAXI/PARKING/TOLLS,116.87,2016,O'CONNOR RYAN P.
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,WOUNDED WARRIOR EXPENSES,TRAVEL,1/31/2017,AP,901151,ANDERSON MARGIE D.,1/18/2017,1/22/2017,TAXI/PARKING/TOLLS,192.21,2017,ANDERSON MARGIE D.
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,WOUNDED WARRIOR EXPENSES,TRAVEL,1/31/2017,AP,901152,CHARON JUSTYN D.,1/4/2017,1/9/2017,TAXI/PARKING/TOLLS,491.7,2017,CHARON JUSTYN D.
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,WOUNDED WARRIOR EXPENSES,TRAVEL,2/7/2017,AP,901830,BUTLER PETER A.,1/19/2017,1/23/2017,TAXI/PARKING/TOLLS,131.75,2017,BUTLER PETER A.
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,WOUNDED WARRIOR EXPENSES,TRAVEL,2/27/2017,AP,904142,MILLER DENNIS E.,1/31/2017,2/2/2017,TAXI/PARKING/TOLLS,149.68,2017,MILLER DENNIS E.
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,WOUNDED WARRIOR EXPENSES,TRAVEL,3/31/2017,AP,912385,BUTLER PETER A.,3/10/2017,3/16/2017,TAXI/PARKING/TOLLS,188.65,2017,BUTLER PETER A.
A000374,HON. RALPH ABRAHAM,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/9/2017,AP,E0494334,CITIBANK GOV CARD SERVICE,1/4/2017,1/21/2017,TAXI/PARKING/TOLLS,432.81,2017,CITIBANK GOV CARD SERVICE
A000374,HON. RALPH ABRAHAM,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/14/2017,AP,E0495339,CITIBANK GOV CARD SERVICE,2/7/2017,2/12/2017,TAXI/PARKING/TOLLS,195.34,2017,CITIBANK GOV CARD SERVICE
A000374,HON. RALPH ABRAHAM,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/20/2017,AP,E0497096,CITIBANK GOV CARD SERVICE,1/5/2017,1/23/2017,TAXI/PARKING/TOLLS,496.98,2017,CITIBANK GOV CARD SERVICE
A000374,HON. RALPH ABRAHAM,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/27/2017,AP,E0499197,CITIBANK GOV CARD SERVICE,1/27/2017,2/27/2017,TAXI/PARKING/TOLLS,539.05,2017,CITIBANK GOV CARD SERVICE
A000374,HON. RALPH ABRAHAM,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/20/2017,AP,E0477994,CITIBANK GOV CARD SERVICE,11/13/2016,11/17/2016,TAXI/PARKING/TOLLS,111.47,2016,CITIBANK GOV CARD SERVICE
A000374,HON. RALPH ABRAHAM,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/13/2017,AP,E0486369,CITIBANK GOV CARD SERVICE,11/29/2016,12/8/2016,TAXI/PARKING/TOLLS,235.34,2016,CITIBANK GOV CARD SERVICE
A000371,HON. PETE AGUILAR,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/6/2017,AP,E0492599,MEDZHIBOVSKY BORIS,2/12/2017,2/17/2017,TAXI/PARKING/TOLLS,258.33,2017,MEDZHIBOVSKY BORIS
A000373,HON. BRAD ASHFORD,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/27/2017,AP,E0481438,CITIBANK GOV CARD SERVICE,11/29/2016,12/28/2016,TAXI/PARKING/TOLLS,424.34,2016,CITIBANK GOV CARD SERVICE
B001291,HON. BRIAN BABIN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/23/2017,AP,E0501009,BROWN SARAH E.,3/5/2017,3/5/2017,TAXI/PARKING/TOLLS,126.17,2017,BROWN SARAH E.
B001291,HON. BRIAN BABIN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/28/2017,AP,E0501807,CITIBANK GOV CARD SERVICE,1/27/2017,2/16/2017,TAXI/PARKING/TOLLS,142.97,2017,CITIBANK GOV CARD SERVICE
B001291,HON. BRIAN BABIN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/6/2017,AP,E0484675,HON BRIAN BABIN,6/7/2016,6/16/2016,TAXI/PARKING/TOLLS,200,2016,HON BRIAN BABIN
B001282,HON. ANDY BARR,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/16/2017,AP,E0494298,CITIBANK GOV CARD SERVICE,1/30/2017,2/10/2017,TAXI/PARKING/TOLLS,126,2017,CITIBANK GOV CARD SERVICE
B001282,HON. ANDY BARR,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/11/2017,AP,E0475419,CITIBANK GOV CARD SERVICE,11/29/2016,12/15/2016,TAXI/PARKING/TOLLS,115,2016,CITIBANK GOV CARD SERVICE
B001270,HON. KAREN BASS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/24/2017,AP,E0496725,CITIBANK GOV CARD SERVICE,1/29/2017,2/28/2017,TAXI/PARKING/TOLLS,277.64,2017,CITIBANK GOV CARD SERVICE
B001270,HON. KAREN BASS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/27/2017,AP,E0497615,CITIBANK GOV CARD SERVICE,12/29/2016,1/28/2017,TAXI/PARKING/TOLLS,687.15,2017,CITIBANK GOV CARD SERVICE
B001270,HON. KAREN BASS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/9/2017,AP,E0483690,CITIBANK GOV CARD SERVICE,11/29/2016,12/28/2016,TAXI/PARKING/TOLLS,110,2016,CITIBANK GOV CARD SERVICE
B000287,2012 HON. XAVIER BECARRA,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/8/2017,AP,E0480025,HON. XAVIER BECERRA,6/8/2012,12/30/2012,TAXI/PARKING/TOLLS,192,2012,HON. XAVIER BECERRA
B001257,HON. GUS  M. BILIRAKIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/16/2017,AP,E0495377,CITIBANK GOV CARD SERVICE,2/6/2017,2/20/2017,TAXI/PARKING/TOLLS,167.2,2017,CITIBANK GOV CARD SERVICE
B001293,HON. MIKE BISHOP,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/2/2017,AP,E0487862,CITIBANK GOV CARD SERVICE,1/3/2017,1/31/2017,TAXI/PARKING/TOLLS,477.09,2017,CITIBANK GOV CARD SERVICE
B001293,HON. MIKE BISHOP,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/17/2017,AP,E0494958,CITIBANK GOV CARD SERVICE,1/30/2017,2/16/2017,TAXI/PARKING/TOLLS,442.76,2017,CITIBANK GOV CARD SERVICE
B001293,HON. MIKE BISHOP,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/21/2017,AP,E0496193,CITIBANK GOV CARD SERVICE,1/30/2017,2/27/2017,TAXI/PARKING/TOLLS,264.13,2017,CITIBANK GOV CARD SERVICE
B001293,HON. MIKE BISHOP,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/22/2017,AP,E0499362,CITIBANK GOV CARD SERVICE,2/14/2017,2/21/2017,TAXI/PARKING/TOLLS,192.14,2017,CITIBANK GOV CARD SERVICE
B001293,HON. MIKE BISHOP,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/23/2017,AP,E0479368,CITIBANK GOV CARD SERVICE,12/8/2016,12/8/2016,TAXI/PARKING/TOLLS,143.4,2016,CITIBANK GOV CARD SERVICE
B001293,HON. MIKE BISHOP,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/25/2017,AP,E0479364,CITIBANK GOV CARD SERVICE,11/29/2016,12/10/2016,TAXI/PARKING/TOLLS,368.96,2016,CITIBANK GOV CARD SERVICE
B001293,HON. MIKE BISHOP,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/1/2017,AP,E0487834,CITIBANK GOV CARD SERVICE,1/2/2017,1/2/2017,TAXI/PARKING/TOLLS,116.8,2017,CITIBANK GOV CARD SERVICE
B001273,HON. DIANE BLACK,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/4/2017,AP,E0490200,KOEBERLEIN TERESA,1/10/2017,2/8/2017,TAXI/PARKING/TOLLS,206,2017,KOEBERLEIN TERESA
B001273,HON. DIANE BLACK,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/1/2017,AP,E0479785,KOEBERLEIN TERESA,11/14/2016,12/14/2016,TAXI/PARKING/TOLLS,149,2016,KOEBERLEIN TERESA
B001245,HON. MADELEINE Z. BORDALLO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/7/2017,AP,E0485200,CITIBANK GOV CARD SERVICE,1/18/2017,1/21/2017,TAXI/PARKING/TOLLS,151.95,2017,CITIBANK GOV CARD SERVICE
B001245,HON. MADELEINE Z. BORDALLO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/22/2017,AP,E0500599,CITIBANK GOV CARD SERVICE,2/19/2017,2/28/2017,TAXI/PARKING/TOLLS,106.32,2017,CITIBANK GOV CARD SERVICE
B001245,HON. MADELEINE Z. BORDALLO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/9/2017,AP,E0475560,HON. MADELINE Z BORDALLO,12/10/2016,12/17/2016,TAXI/PARKING/TOLLS,107.12,2016,HON. MADELINE Z BORDALLO
B001295,HON. MIKE BOST,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/23/2017,AP,E0490414,CITIBANK GOV CARD SERVICE,1/4/2017,1/23/2017,TAXI/PARKING/TOLLS,188.68,2017,CITIBANK GOV CARD SERVICE
B001285,HON. JULIA BROWNLEY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/9/2017,AP,E0494561,YOUNG LEONARD P.,1/9/2017,2/7/2017,TAXI/PARKING/TOLLS,222.17,2017,YOUNG LEONARD P.
B001285,HON. JULIA BROWNLEY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/30/2017,AP,E0482367,CITIBANK GOV CARD SERVICE,12/2/2016,12/8/2016,TAXI/PARKING/TOLLS,148.1,2016,CITIBANK GOV CARD SERVICE
B001297,HON. KEN BUCK,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/10/2017,AP,E0473012,CITIBANK GOV CARD SERVICE,8/15/2016,9/12/2016,TAXI/PARKING/TOLLS,132.02,2016,CITIBANK GOV CARD SERVICE
B001251,HON. G.K. BUTTERFIELD,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/21/2017,AP,E0490441,CITIBANK GOV CARD SERVICE,12/30/2016,1/24/2017,TAXI/PARKING/TOLLS,145.07,2017,CITIBANK GOV CARD SERVICE
B001251,HON. G.K. BUTTERFIELD,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/29/2017,AP,E0501406,CITIBANK GOV CARD SERVICE,2/6/2017,2/22/2017,TAXI/PARKING/TOLLS,184.12,2017,CITIBANK GOV CARD SERVICE
B001251,HON. G.K. BUTTERFIELD,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/24/2017,AP,E0481325,CITIBANK GOV CARD SERVICE,11/28/2016,12/25/2016,TAXI/PARKING/TOLLS,243.48,2016,CITIBANK GOV CARD SERVICE
B001289,HON. BRADLEY BYRNE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/22/2017,AP,E0489858,CITIBANK GOV CARD SERVICE,1/9/2017,1/13/2017,TAXI/PARKING/TOLLS,108,2017,CITIBANK GOV CARD SERVICE
B001289,HON. BRADLEY BYRNE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/16/2017,AP,E0480381,CITIBANK GOV CARD SERVICE,12/11/2016,12/11/2016,TAXI/PARKING/TOLLS,126,2016,CITIBANK GOV CARD SERVICE
B001289,HON. BRADLEY BYRNE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/2/2017,AP,E0489885,CITIBANK GOV CARD SERVICE,12/5/2016,12/11/2016,TAXI/PARKING/TOLLS,126,2016,CITIBANK GOV CARD SERVICE
C000059,HON. KEN CALVERT,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/9/2017,AP,E0494454,KENNETT DAVID H.,2/8/2017,2/27/2017,TAXI/PARKING/TOLLS,221.74,2017,KENNETT DAVID H.
C001112,HON. SALUD O. CARBAJAL,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/22/2017,AP,E0487397,HON SALUD CARBAJAL,1/3/2017,2/6/2017,TAXI/PARKING/TOLLS,462.09,2017,HON SALUD CARBAJAL
C001112,HON. SALUD O. CARBAJAL,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/13/2017,AP,E0494910,HON SALUD CARBAJAL,2/7/2017,3/1/2017,TAXI/PARKING/TOLLS,133.79,2017,HON SALUD CARBAJAL
C001112,HON. SALUD O. CARBAJAL,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/24/2017,AP,E0498399,HON SALUD CARBAJAL,1/13/2017,1/25/2017,TAXI/PARKING/TOLLS,243.22,2017,HON SALUD CARBAJAL
C001112,HON. SALUD O. CARBAJAL,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/31/2017,AP,E0500629,AIRPORT CONNECTION INC,2/3/2017,2/3/2017,TAXI/PARKING/TOLLS,336.25,2017,AIRPORT CONNECTION INC
C001051,HON. JOHN R. CARTER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/31/2017,AP,E0482378,PETERSEN LORI E.,1/18/2017,1/21/2017,TAXI/PARKING/TOLLS,220.38,2017,PETERSEN LORI E.
C001051,HON. JOHN R. CARTER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/31/2017,AP,E0482541,SCHIERMEYER CORRY,1/18/2017,1/21/2017,TAXI/PARKING/TOLLS,199.28,2017,SCHIERMEYER CORRY
C001051,HON. JOHN R. CARTER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/1/2017,AP,E0482775,ALVARADO MARIA,1/18/2017,1/21/2017,TAXI/PARKING/TOLLS,171.33,2017,ALVARADO MARIA
C001051,HON. JOHN R. CARTER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/9/2017,AP,E0486739,CITIBANK GOV CARD SERVICE,11/30/2016,12/15/2016,TAXI/PARKING/TOLLS,117.17,2016,CITIBANK GOV CARD SERVICE
C001066,HON. KATHY CASTOR,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/30/2017,AP,E0479584,PHILLIPS THOMAS C,12/5/2016,12/9/2016,TAXI/PARKING/TOLLS,108,2016,PHILLIPS THOMAS C
C001091,HON. JOAQUIN CASTRO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/22/2017,AP,E0489800,CITIBANK GOV CARD SERVICE,12/29/2016,1/23/2017,TAXI/PARKING/TOLLS,307.97,2017,CITIBANK GOV CARD SERVICE
C001091,HON. JOAQUIN CASTRO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/29/2017,AP,E0500044,CITIBANK GOV CARD SERVICE,1/29/2017,2/28/2017,TAXI/PARKING/TOLLS,355.79,2017,CITIBANK GOV CARD SERVICE
C000266,HON. STEVE CHABOT,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/8/2017,AP,E0493000,CITIBANK GOV CARD SERVICE,1/6/2017,1/13/2017,TAXI/PARKING/TOLLS,150,2017,CITIBANK GOV CARD SERVICE
C000266,HON. STEVE CHABOT,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/31/2017,AP,E0478992,CITIBANK GOV CARD SERVICE,12/2/2016,12/8/2016,TAXI/PARKING/TOLLS,167.55,2016,CITIBANK GOV CARD SERVICE
C001080,HON. JUDY CHU,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/17/2017,AP,E0489254,CITIBANK GOV CARD SERVICE,1/3/2017,1/23/2017,TAXI/PARKING/TOLLS,252.69,2017,CITIBANK GOV CARD SERVICE
C001080,HON. JUDY CHU,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/20/2017,AP,E0497268,SAHR DANIEL R.,2/20/2017,2/24/2017,TAXI/PARKING/TOLLS,162.81,2017,SAHR DANIEL R.
C001080,HON. JUDY CHU,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/20/2017,AP,E0497333,SUARATO BENJAMIN J.,2/20/2017,2/22/2017,TAXI/PARKING/TOLLS,126.87,2017,SUARATO BENJAMIN J.
C001080,HON. JUDY CHU,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/21/2017,AP,E0497335,WANG ALTON,2/18/2017,2/25/2017,TAXI/PARKING/TOLLS,144.55,2017,WANG ALTON
C001080,HON. JUDY CHU,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/23/2017,AP,E0497827,SILBERBERG DAVID A,2/17/2017,2/24/2017,TAXI/PARKING/TOLLS,166.88,2017,SILBERBERG DAVID A
C001101,HON. KATHERINE M. CLARK,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/27/2017,AP,E0481925,SANTOS JAMES W,11/29/2016,11/30/2016,TAXI/PARKING/TOLLS,131.4,2016,SANTOS JAMES W
C001067,HON. YVETTE D. CLARKE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/3/2017,AP,E0490110,CITIBANK GOV CARD SERVICE,1/17/2017,1/26/2017,TAXI/PARKING/TOLLS,724.34,2017,CITIBANK GOV CARD SERVICE
C001067,HON. YVETTE D. CLARKE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/29/2017,AP,E0499198,CITIBANK GOV CARD SERVICE,1/27/2017,2/24/2017,TAXI/PARKING/TOLLS,738.36,2017,CITIBANK GOV CARD SERVICE
C001067,HON. YVETTE D. CLARKE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/13/2017,AP,E0478176,CITIBANK GOV CARD SERVICE,10/27/2016,11/23/2016,TAXI/PARKING/TOLLS,235.84,2016,CITIBANK GOV CARD SERVICE
C001067,HON. YVETTE D. CLARKE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/8/2017,AP,E0485254,CITIBANK GOV CARD SERVICE,12/3/2016,12/22/2016,TAXI/PARKING/TOLLS,245.4,2016,CITIBANK GOV CARD SERVICE
C001102,HON. CURT CLAWSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/6/2017,AP,E0472868,CITIBANK GOV CARD SERVICE,11/7/2016,11/10/2016,TAXI/PARKING/TOLLS,228,2016,CITIBANK GOV CARD SERVICE
C001061,HON. EMANUEL CLEAVER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/16/2017,AP,E0488227,CITIBANK GOV CARD SERVICE,1/17/2017,1/22/2017,TAXI/PARKING/TOLLS,213.31,2017,CITIBANK GOV CARD SERVICE
C001061,HON. EMANUEL CLEAVER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/10/2017,AP,E0477622,CITIBANK GOV CARD SERVICE,12/13/2016,12/16/2016,TAXI/PARKING/TOLLS,188.88,2016,CITIBANK GOV CARD SERVICE
C001061,HON. EMANUEL CLEAVER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/16/2017,AP,E0486971,JONES JOHN H.,12/20/2016,12/22/2016,TAXI/PARKING/TOLLS,151.59,2016,JONES JOHN H.
C001077,HON. MIKE COFFMAN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/23/2017,AP,E0477829,CITIBANK GOV CARD SERVICE,11/27/2016,12/15/2016,TAXI/PARKING/TOLLS,123.47,2016,CITIBANK GOV CARD SERVICE
C001068,HON. STEVE COHEN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/18/2017,AP,E0476728,MAYNARD RICK,12/4/2016,12/8/2016,TAXI/PARKING/TOLLS,140.78,2016,MAYNARD RICK
